City Name,Temperature,Humidity,Cloudiness,Wind Speed,Latitude
Sechura,292.53,90,8,5.56,-5.56
Vaini,297.68,88,0,1.51,15.34
Zelenogorskiy,271.15,100,90,5,55.03
Ushuaia,279.15,75,40,9.3,-54.81
Tena,287.805,92,44,1.01,-0.99
Teguldet,273.48,82,88,2.91,57.31
Victoria,303.15,88,75,1.46,5.28
Kieta,301.38,94,44,1.91,-6.22
Mataura,294.13,62,92,5.46,-46.19
Plettenberg Bay,295.28,66,0,4.06,-34.05
Kirksville,284.15,61,1,3.16,40.19
East London,293.455,100,0,11.11,-33.02
Saint George,291.15,68,75,8.7,39.45
Atuona,300.68,97,88,6.61,-9.8
Makakilo City,304.15,55,20,4.6,21.35
Hobart,292.15,32,75,8.2,-42.88
Nanortalik,274.13,100,92,7.61,60.14
Bluff,305.155,44,0,2.41,-23.58
Bodden Town,301.15,78,20,6.7,19.28
Ingraj Bazar,300.655,75,0,2.06,25
Puerto Suarez,298.155,84,32,1.31,-18.96
Ullapool,283.93,100,100,14.81,57.9
Longyearbyen,273.23,98,56,5.56,78.22
Kenora,276.15,80,90,4.6,49.76
Peniche,289.15,87,0,0.5,39.36
Saldanha,283.055,68,0,5.81,41.42
Kapaa,303.15,65,40,6.2,22.08
Torbay,277.15,80,40,5.7,47.66
New Norfolk,292.15,32,75,8.2,-42.78
Busselton,289.305,100,20,1.91,-33.64
Kodiak,284.15,87,1,2.6,39.95
Stepnoye,281.15,61,0,3,51.38
Riohacha,298.58,100,0,3.16,11.54
Sorland,280.18,100,64,7.01,67.67
Shimoda,291.15,72,75,9.3,34.7
San Lorenzo,301.83,79,12,3.31,13.43
Lebu,286.15,82,40,3.1,8.96
Oranjemund,293.655,69,44,6.01,-28.55
Saint Anthony,288.15,33,1,1.5,43.97
Lorengau,299.705,100,88,5.21,-2.02
Vardo,284.15,53,40,3.6,39.62
Rikitea,293.705,100,92,0.06,-23.12
Cidreira,291.78,93,48,2.66,-30.17
Nikolskoye,277.15,86,20,3,59.7
Leningradskiy,268.58,100,48,4.91,69.38
Esperance,297.15,100,20,1.46,10.24
Tamiahua,295.38,100,92,5.81,21.28
Albany,280.15,65,90,2.1,42.65
Bredasdorp,286.15,87,0,1,-34.53
Mar del Plata,274.705,100,0,1.86,-46.43
Severo-Kurilsk,279.28,92,56,5.11,50.68
Mahebourg,293.15,88,75,4.1,-20.41
Hof,274.15,100,1,2.46,50.32
Barrow,281.48,95,56,3.41,-38.31
Nishihara,290.15,72,90,2.6,35.74
Cape Town,296.15,49,0,2.6,-33.93
Yellowknife,273.15,92,75,5.1,62.45
Georgetown,297.15,100,75,2.1,6.8
Ancud,279.88,80,0,2.76,-41.87
Pevek,267.73,100,80,4.46,69.7
Hithadhoo,301.58,100,48,2.61,-0.6
Comodoro Rivadavia,279.15,81,0,1.5,-45.87
Tasiilaq,268.15,45,76,1,65.61
Jamestown,292.93,36,8,4.31,-33.21
Dingle,302.68,79,44,3.56,11
Qaanaaq,257.63,100,32,4.66,77.48
Punta Arenas,279.15,75,0,2.6,-53.16
Sinnamary,300.53,94,8,5.66,5.38
Harstad,278.15,100,92,4.6,68.8
Sao Filipe,299.405,97,8,4.76,14.9
Santa Isabel do Rio Negro,299.155,90,36,1.76,-0.41
Peterhead,289.15,55,75,6.2,-34.83
Puerto Ayora,294.155,100,0,5.26,-0.74
Vostok,284.155,50,80,2.91,46.45
Lavrentiya,276.705,100,68,11.06,65.58
Bethel,284.15,57,1,3.6,60.79
Carnarvon,281.555,55,0,2.56,-30.97
Teguise,295.15,83,88,7.7,29.06
Avarua,296.18,100,76,6.71,-21.21
Butaritari,302.555,100,0,3.06,3.07
Morant Bay,302.15,66,20,2.6,17.88
Port Alfred,292.055,76,0,7.11,-33.59
Luderitz,288.15,93,32,5.7,-26.65
Giresun,281.78,100,8,0.51,40.91
Hilo,297.15,88,75,1.5,19.71
Kavaratti,302.38,100,0,2.46,10.57
Hualmay,287.455,100,64,2.21,-11.1
Saint-Philippe,278.15,60,90,1.5,45.36
Klaksvik,281.15,93,68,9.3,62.23
Chokurdakh,264.13,90,68,4.46,70.62
Grand Gaube,293.15,88,75,4.1,-20.01
Komsomolskiy,269.705,89,88,7.51,67.55
Isangel,297.055,100,88,6.71,-19.55
Livramento,301.15,83,20,2.1,-3.03
Rio Grande,291.18,94,80,6.36,-32.03
Cukai,301.15,83,75,1.5,4.25
Nome,290.15,72,75,3.1,30.04
Tuktoyaktuk,272.15,92,90,3.6,69.44
Itoman,300.15,61,20,3.1,26.12
Husavik,273.73,81,0,4.56,50.56
Mangrol,297.955,38,0,2.11,25.33
Chicama,290.15,88,0,4.1,-7.84
Batetskiy,276.53,93,0,3.21,58.65
Derzhavinsk,265.655,70,8,1.66,51.1
Souillac,287.15,71,0,4.6,45.6
Mulchen,281.63,82,92,1.06,-37.72
Gigmoto,301.455,99,12,5.31,13.78
Mayo,278.15,80,75,2.1,63.59
Castlemaine,279.905,97,0,3.71,52.17
Buin,292.15,29,20,3.1,-33.73
Mahuva,301.955,100,0,3.46,21.09
Dali,290.48,79,8,0.86,25.6
Menongue,289.93,80,92,2.46,-14.66
Castro,278.38,99,0,2.66,-42.48
Paka,284.15,87,40,2.6,45.29
Roald,280.15,93,92,4.1,62.58
Marawi,296.93,100,92,1.31,8
Zyryanka,260.08,73,44,1.56,65.73
Arraial do Cabo,294.53,92,0,8.71,-22.97
Tuatapere,289.98,72,92,4.66,-46.13
Rivers,272.15,74,5,4.1,50.03
Molina,288.15,51,80,1,-35.11
Batagay-Alyta,261.555,72,36,1.71,67.8
Eydhafushi,301.905,99,12,5.21,5.1
Bambous Virieux,293.15,88,75,4.1,-20.34
Narsaq,273.15,80,92,1.11,60.91
Los Llanos de Aridane,293.15,68,36,2.6,28.66
Kloulklubed,300.15,78,90,7.7,7.04
Touros,298.73,86,68,7.26,-5.2
Lermontovka,284.98,62,44,4.21,47.15
Katsuura,292.15,77,75,2.1,33.93
Adrar,299.15,34,0,3.1,27.87
Edd,290.83,88,0,0.91,13.93
Waitati,293.58,49,0,3.66,-45.75
Solwezi,290.18,58,48,6.86,-12.18
Hokitika,287.555,93,8,2.96,-42.72
Katangli,282.98,80,32,2.51,51.71
Kidal,293.93,35,12,1.26,18.44
Betulia,288.15,100,75,1.5,6.11
Ukiah,294.15,98,1,1.5,39.15
Codrington,298.455,76,8,1.26,-28.95
Khatanga,257.93,79,36,3.11,71.98
Tautira,303.15,62,75,5.7,-17.73
Lamar,289.15,48,1,3.1,38.09
Ostrovnoy,270.78,94,20,5.56,68.05
Hermanus,290.88,67,0,1.66,-34.42
Cherskiy,261.38,92,56,1.81,68.75
Sao Joao da Barra,296.28,100,8,7.71,-21.64
Constitucion,288.15,100,90,1.5,23.99
Koumac,300.08,72,56,3.16,-20.56
Paamiut,273.98,100,12,8.86,61.99
Zarautz,285.15,93,0,1.5,43.28
Namibe,296.955,100,88,2.81,-15.19
Indiaroba,296.155,98,100,3.01,-11.53
Fairbanks,281.15,52,1,3.1,64.84
El Dorado,295.08,99,80,0.86,6.71
Kupang,304.18,76,0,1.76,-10.16
Dalian,300.15,83,20,3,19.86
Sosnovo-Ozerskoye,271.33,78,36,1.86,52.53
Palembang,302.48,95,20,1.86,-2.99
Airai,303.305,49,0,0.46,-8.93
Boa Vista,299.15,83,90,1.5,2.82
Tadine,297.58,93,80,7.96,-21.55
Forbes,299.13,62,20,4.01,-33.38
Meulaboh,301.03,100,0,1.21,4.14
Kwinana,291.15,59,90,3.1,-32.25
Pisco,291.15,82,0,4.6,-13.71
Baragua,299.13,88,0,4.51,21.7
Ilulissat,259.15,42,0,1,69.22
Kalmunai,299.305,100,24,1.51,7.42
Padang,299.305,100,76,3.61,-0.92
Upernavik,265.78,100,36,4.91,72.79
Moree,300.18,68,8,2.66,-29.46
Krasnotorka,281.78,100,92,4.01,48.68
Paita,291.73,87,0,2.76,-5.09
Havre-Saint-Pierre,273.15,86,75,4.1,50.23
Sambava,296.805,100,56,11.66,-14.27
Vila Velha,300.15,78,75,7.2,-3.71
Raudeberg,282.15,81,92,12.3,61.99
Shelburne,280.15,87,1,3.56,44.08
Ozinki,273.08,86,0,3.66,51.2
Bara,296.48,54,64,2.56,10.41
Urusha,275.23,100,92,1.56,54.05
Boyolangu,303.905,56,12,2.46,-8.09
Ewa Beach,304.15,55,20,4.6,21.32
Chumikan,278.405,79,76,0.96,54.72
Shar,296.78,93,32,4.01,7.3
Weiser,291.15,39,1,0.96,44.25
Penzance,282.15,81,0,2.6,50.12
Taksimo,269.78,69,0,1.21,56.36
Ponta do Sol,291.03,77,76,2.86,-20.63
Labuhan,302.055,80,12,0.61,-2.54
Port Elizabeth,284.15,70,1,1.5,39.31
Acajutla,299.15,61,20,1.31,13.59
Hauterive,283.15,81,90,3.6,46.09
Port Hardy,283.15,81,20,2.66,50.7
Kahului,304.15,62,40,10.3,20.89
Breytovo,279.655,97,92,6.91,58.3
Pitimbu,298.15,83,75,3.1,-7.47
Cabo San Lucas,302.15,69,40,3.91,22.89
Aklavik,271.15,92,90,2.1,68.22
Sao Paulo de Olivenca,299.655,84,8,1.31,-3.38
San Buenaventura,285.73,100,92,1.31,27.06
Goderich,281.33,79,88,3.76,43.74
Mount Gambier,286.68,82,76,3.01,-37.83
Beni,290.83,88,48,0.31,0.49
Xinxiang,290.83,40,0,1.41,35.3
Sinazongwe,293.13,64,12,6.61,-17.26
Tevaitoa,301.18,94,0,3.81,-16.78
Maniitsoq,262.83,100,0,2.36,65.42
Dikson,265.705,100,80,9.16,73.51
Savalou,296.455,96,20,2.46,7.93
Port Lincoln,288.38,88,44,5.56,-34.72
Bontang,300.73,100,44,2.06,0.12
Sitka,287.555,62,32,4.06,37.17
Beringovskiy,271.73,100,24,7.16,63.05
Talnakh,264.88,73,56,2.56,69.49
Iqaluit,265.15,72,75,3.66,63.75
Faanui,301.48,96,20,3.21,-16.48
Hobyo,296.68,92,20,1.61,5.35
Guerrero Negro,291.155,93,44,4.16,27.97
Tacuarembo,289.805,98,92,4.61,-31.73
Hare Bay,276.15,86,90,4.1,48.86
Chuy,287.58,83,20,4.11,-33.69
Broome,281.15,87,24,5.7,52.47
Gorontalo,303.805,54,44,1.66,0.54
Alakurtti,269.78,87,0,1.81,66.96
Marienburg,280.15,75,0,4.1,52.12
Kaitangata,294.155,63,12,2.51,-46.28
Kainantu,293.905,86,88,0.71,-6.29
South Sioux City,284.15,46,1,2.1,42.47
Tiksi,262.18,79,68,10.21,71.64
Norman Wells,274.15,80,75,1.5,65.28
Hambantota,300.58,100,0,5.76,6.12
Macia,291.88,72,92,1.56,-25.03
Coquimbo,286.15,82,75,3.1,-29.95
Krasnoye,282.15,100,90,2,44.87
Nalut,288.555,86,0,3.16,31.86
Kaabong,290.43,81,32,3.56,3.51
Genhe,274.78,95,48,1.96,50.78
Caravelas,297.055,100,0,6.01,-17.73
Iskateley,273.18,98,92,3.16,67.68
Provideniya,275.15,74,0,3,64.42
Palmer,289.15,55,75,6.2,-34.85
Ponta Delgada,292.15,82,40,7.2,37.73
Harrisonburg,283.15,75,1,2.16,38.45
Thompson,269.15,73,90,4.1,55.74
Ampanihy,286.33,77,8,2.66,-24.69
Sur,300.78,94,0,2.56,22.57
Biak,304.98,62,8,2.51,-0.91
Bonavista,277.705,100,0,8.11,48.65
Ovalle,284.93,88,44,1.36,-30.6
Ligayan,301.63,100,12,0.86,4.65
Flinders,299.15,50,0,4.6,-34.58
Costa Rica,302.15,66,90,2.6,24.59
Norilsk,264.88,73,56,2.56,69.35
Guadalupe y Calvo,285.03,90,44,0.86,26.09
Kiruna,272.15,80,8,3.6,67.86
Geraldton,275.15,93,90,4.1,49.72
Manaure,300.23,100,48,4.51,11.78
Zhigansk,262.93,76,0,1.46,66.77
Russell,290.15,55,75,1.5,-33.01
The Valley,299.15,88,75,2.6,18.22
Qasigiannguit,259.15,42,0,1,68.82
